Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,1393.57,70b3d57ed007386c,7,21,28,30,93.85,0,3,REWARD,60,6
1,1394.24,70b3d57ed00733ea,2,11,28,30,93.85,0,3,REWARD,60,6
1,1404.13,70b3d57ed007334e,1,13,28,30,93.85,0,3,PUNISH,60,6
1,1424.97,70b3d57ed0073859,4,7,29,30,98.42,0,2,REWARD,60,6
1,1439.72,70b3d57ed0073864,5,18,29,30,98.42,0,3,REWARD,60,6
1,1445.32,70b3d57ed007386a,6,20,30,30,100.0,0,3,REWARD,60,6
1,1453.66,70b3d57ed007386c,7,22,29,30,98.42,0,3,REWARD,60,6
1,1454.33,70b3d57ed00733ea,2,12,29,30,98.42,0,3,REWARD,60,6
1,1464.05,70b3d57ed007334e,1,14,29,30,98.42,0,3,REWARD,60,6
1,1484.68,70b3d57ed0073859,4,9,30,30,100.0,0,2,REWARD,60,6
1,1499.88,70b3d57ed0073864,5,19,30,30,100.0,0,3,REWARD,60,6
1,1505.32,70b3d57ed007386a,6,21,31,30,98.42,1,3,REWARD,60,6
1,1513.67,70b3d57ed007386c,7,23,30,30,100.0,0,3,REWARD,60,6
1,1514.33,70b3d57ed00733ea,2,13,30,30,100.0,0,3,REWARD,60,6
1,1523.89,70b3d57ed007334e,1,15,30,30,100.0,0,3,REWARD,60,6
1,1544.34,70b3d57ed0073859,4,10,31,30,98.42,1,2,REWARD,60,6
1,1559.74,70b3d57ed0073864,5,20,30,30,100.0,0,3,REWARD,60,6
1,1565.58,70b3d57ed007386a,6,23,30,30,100.0,0,3,REWARD,60,6
1,1573.44,70b3d57ed007386c,7,24,31,30,98.42,1,3,REWARD,60,6
1,1574.26,70b3d57ed00733ea,2,14,31,30,98.42,1,3,REWARD,60,6
1,1584.04,70b3d57ed007334e,1,16,31,30,98.42,1,3,REWARD,60,6
1,1604.18,70b3d57ed0073859,4,11,31,30,98.42,1,2,REWARD,60,6
1,1619.73,70b3d57ed0073864,5,21,31,30,98.42,1,3,REWARD,60,6
1,1625.34,70b3d57ed007386a,6,24,30,30,100.0,0,3,REWARD,60,6
